w1,w2,w3,alpha,beta,pi0,regression_mae,full_model_mae,full_model_rmse,full_model_mape,volatility_mae,volatility_rmse,volatility_mape,sample_count,validation_count,price_rank,volatility_rank
0.0,0.96,0.04,1.1732327915324325,3116.2499291189115,626.3803022853385,97.87502695120241,98.41993674819093,117.31922556110844,0.013001618263247392,98.41993674819093,117.31922556110844,0.7476643491027295,158,241,28,28
0.14,0.82,0.04,1.1831419776478944,3089.9082464003113,654.5100576929794,98.520480991587,98.44175793593169,117.68294332930489,0.012982924351028565,98.44175793593169,117.68294332930489,0.7461910257819611,158,241,29,29
0.16,0.82,0.02,1.185653817883527,3076.5758877829694,663.6183777690076,98.64147604870001,98.44470764923949,117.87093274102456,0.012975623224969545,98.44470764923949,117.87093274102456,0.7459408759122116,158,241,30,30
0.12,0.82,0.06,1.1805925815200253,3103.459409132927,645.3236009866573,98.4444691511524,98.46699057202181,117.56680436358721,0.012994633999923419,98.46699057202181,117.56680436358721,0.7467402328820878,158,241,31,31
0.18,0.82,0.0,1.1881025844487596,3063.7466823591367,672.4498849969923,98.81030479831482,98.48572260169465,118.14641744145055,0.01297383608384611,98.48572260169465,118.14641744145055,0.7459949849351152,158,241,32,32
0.02,0.92,0.06,1.1735540609385147,3121.8914554838575,625.4972139538581,97.9968076137027,98.49522190849686,117.2776458325304,0.013014532266267502,98.49522190849686,117.2776458325304,0.7481694604421496,158,241,33,33
0.08,0.84,0.08,1.1766664590057205,3120.3965885165844,632.3868137234876,98.23357685144629,98.50760498996381,117.40028623862297,0.013011860530324907,98.50760498996381,117.40028623862297,0.7475444186411294,158,241,34,34
0.06,0.86,0.08,1.1752645468695655,3124.0312569029848,628.4563712550507,98.14992091557782,98.53232395977314,117.33891182223806,0.01301824130409632,98.53232395977314,117.33891182223806,0.7479556079204498,158,241,35,35
0.1,0.82,0.08,1.1780371481493235,3116.9740478050544,636.2234690964424,98.3937188808656,98.55281906345273,117.5211035703721,0.013014490109188604,98.55281906345273,117.5211035703721,0.7476197459541494,158,241,36,36
0.14,0.8,0.06,1.181924543660851,3100.2545134458614,649.1115530064267,98.62294536402698,98.58264591973644,117.80962604218166,0.013006958827686708,98.58264591973644,117.80962604218166,0.7471781702067194,158,241,37,37
0.16,0.8,0.04,1.1844394445563768,3086.9230571642647,658.2064638883194,98.74328421713655,98.58555793094558,117.97967663850197,0.012999324772579795,98.58555793094558,117.97967663850197,0.7469096077694797,158,241,38,38
0.0,0.94,0.06,1.1720311912254953,3126.4368752894748,621.1056346419541,97.98996001639429,98.59172062248219,117.40943269900694,0.01303106120795255,98.59172062248219,117.40943269900694,0.7489581486222335,158,241,39,39
0.04,0.88,0.08,1.173828043234035,3127.8921486769923,624.4267358189363,98.12149022143306,98.60691489500455,117.3348002817292,0.013031928355851922,98.60691489500455,117.3348002817292,0.748678309078223,158,241,40,40
0.12,0.8,0.08,1.1793779685017858,3113.75723555935,639.9690130987519,98.55623773801831,98.6161972537319,117.71074433967895,0.013019649980135613,98.6161972537319,117.71074433967895,0.7478276379718803,158,241,41,41
0.18,0.8,0.02,1.1868826025486117,3074.192381318163,666.9559451032237,98.91474356733379,98.62043614337772,118.24199898950724,0.012996697028810936,98.62043614337772,118.24199898950724,0.7469801958236899,158,241,42,42
0.02,0.9,0.08,1.1723492653124585,3132.087238946517,620.2226707019581,98.11403945548273,98.69402721194541,117.39619859480894,0.013047310749263978,98.69402721194541,117.39619859480894,0.7494749624298267,158,241,43,43
0.08,0.82,0.1,1.1754565393768068,3130.641923768706,627.0780073017886,98.35335430375657,98.69593984219813,117.5613697084487,0.013042440381055589,98.69593984219813,117.5613697084487,0.7487524583730876,158,241,44,44
0.2,0.8,0.0,1.1892789860877502,3061.803597330101,675.5373251887263,99.10746407912201,98.69984468219836,118.58604598135447,0.013000317959716418,98.69984468219836,118.58604598135447,0.7471895953360966,158,241,45,45
0.16,0.78,0.06,1.183221823253224,3097.275750763391,652.7998144693397,98.84439688039853,98.72564738136529,118.11117538192504,0.013022930549585166,98.72564738136529,118.11117538192504,0.7478732377296302,158,241,46,46
0.14,0.78,0.08,1.1807039160679795,3110.605912110792,643.718532983823,98.73341861949149,98.72848016265351,117.95897018758087,0.013031597660115345,98.72848016265351,117.95897018758087,0.7482111761543796,158,241,47,47
0.06,0.84,0.1,1.174055566840015,3134.264003276815,623.1591687781865,98.26797307354,98.73334396003206,117.49434253829911,0.013050982932073438,98.73334396003206,117.49434253829911,0.7492654094001168,158,241,48,48
